FID,Canopy,Elev,EVI,EVI_std,NDVI,NDVI_std,NPP,NPP_std,PrecipYear,TRI,TotalPrecip_JuneSep,MeanMonthlyPrecip_JuneSep,NumSettlements,PercWater,DistWater,DistGoodPA,DistSettlementNEW,DistInsidePA,Latitude,LivestockSignPer500m,LivestockPropSegs,DirectCattle_Per500m,HumanSignPer500m,HumanPropSegs,DirectPeople_Per500m
78,-0.217614713,-0.977060771,0.076286282,-0.739402142,-0.194036976,-0.761104137,-0.863601649,-0.590627374,-1.078401693,-0.346685352,0.594006806,0.565272665,-0.33262453,-0.28784604,-0.319094913,-1.138450697,-0.064957867,1.095539397,-1.10666952,-0.935702915,-1.031471913,-0.401167651,-0.787035708,-0.982430501,-0.449100415
79,-0.560176615,-1.053689655,-0.279060462,-0.017225301,-0.561462947,-0.401761434,-1.155647379,-1.105530899,-1.10426613,-0.560136521,0.225545737,0.565272665,-0.626338267,-0.290771068,0.556205855,-1.165366202,0.021617062,1.020466997,-1.10666952,-0.785977969,-0.804029536,-0.401167651,-0.676313636,-0.803157009,-0.449100415
80,-0.975194759,-1.112452617,-0.128591469,-0.299474497,-0.539382585,-0.218561591,-1.702895289,-0.443805635,-1.10836238,-1.137545556,0.544429819,0.565272665,-0.33262453,-0.292863333,-0.434728331,-1.19168159,0.165380835,0.808647964,-1.10666952,-0.935702915,-1.031471913,-0.401167651,-0.680557883,-0.808940025,-0.449100415
81,-0.353466094,-1.146520472,0.576883491,-0.861724694,0.095272397,-0.675141183,-1.083203269,-0.962330693,-1.115788144,-1.092757254,0.634525283,0.565272665,-0.626338267,-0.292548323,-0.002528376,-1.218224495,0.223773001,0.494008806,-1.10666952,-0.935702915,-1.031471913,-0.401167651,-0.787035708,-0.982430501,-0.449100415
82,0.078957193,-1.202268979,-0.079694538,-0.824717148,-0.097198259,-0.23844544,-1.288943424,0.256504235,-1.10596232,-0.837896977,0.053923671,0.565272665,-0.626338267,-0.293696527,0.366703004,-1.245602669,1.840608749,0.183496561,-1.10666952,-0.935702915,-1.031471913,-0.401167651,-0.787035708,-0.982430501,-0.449100415
83,-0.228631452,-1.280716784,-0.442238665,-0.200962122,-0.264178016,0.148232123,-1.409724401,-0.401219638,-1.099127018,-0.237631554,0.01793445,0.565272665,-0.626338267,-0.292677551,0.018408939,-1.271709337,1.479302579,-0.088098842,-1.10666952,-0.789790004,-0.818244685,-0.401167651,-0.571229588,-0.646292704,0.056287274
84,-0.695245742,-1.358929141,-0.736534224,0.005480902,-0.690097459,0.442077345,-1.265476175,0.737807454,-1.068961703,-0.839938117,0.01793445,0.565272665,-0.626338267,-0.292028803,0.596023267,-1.315235192,1.722145632,-0.438688902,-1.10666952,-0.795145111,-0.824706116,-0.401167651,-0.683092766,-0.819454599,-0.449100415
85,0.391206767,-1.390999965,-0.072811143,-0.389386517,-0.167240247,-0.085838418,0.061187754,-0.587862133,-1.040389032,-1.172140323,0.01793445,0.565272665,-0.626338267,-0.293510959,0.415953024,-1.394981547,0.347266026,-0.698602573,-1.10666952,-0.935702915,-1.031471913,-0.401167651,-0.680175713,-0.814361602,0.051401851
86,0.217318304,-1.467875275,-1.823598264,0.292762664,-0.931454127,0.816574855,0.008340764,1.111233013,-0.999510351,-0.48524688,0.01793445,0.565272665,-0.33262453,0.381972576,-0.674429764,-1.479276358,-0.367674016,-0.655688081,-1.10666952,-0.630100218,-0.57658716,4.327161358,-0.335047386,-0.265336534,0.080146236
87,0.353984532,-1.463372502,-2.447669412,0.170944663,-1.660567801,0.000835811,0.07637759,1.812983985,-0.933175256,-0.185620196,0.01793445,0.565272665,-0.626338267,0.108390216,-0.460149805,-1.522109809,-0.689072249,-0.705121327,-1.10666952,-0.935702915,-1.031471913,-0.401167651,-0.586748235,-0.623883517,-0.449100415
95,-0.629243092,-0.097216889,-0.017045421,-1.159913943,-0.707966559,-1.189215319,-1.23352185,-0.919069749,-1.103496927,-0.414150012,0.157729315,0.565272665,-0.626338267,-0.293826202,0.644166105,-0.687504586,0.73822137,0.730435432,-0.930864586,-0.935702915,-1.031471913,-0.401167651,-0.675302807,-0.803157009,-0.449100415
99,-0.481397156,-0.52417521,0.001195697,-1.117856582,-0.274884895,-1.046582091,-0.688382522,-0.843139903,-0.881638682,-0.910441375,0.128105534,0.565272665,-0.33262453,-0.294159596,0.445010816,-0.893129304,-0.556993567,0.813525638,-0.930864586,-0.78550455,-0.811366387,-0.401167651,-0.45381921,-0.461959073,-0.449100415
101,-0.920371817,-0.785930177,0.518484165,-1.28407645,0.389867227,-0.871108498,-1.0323273,-0.714522399,-0.877920869,-0.635751144,0.367054374,0.376306171,-0.626338267,-0.288397895,-0.370129273,-0.945907159,0.528781131,1.207876458,-0.930864586,-0.935702915,-1.031471913,-0.401167651,-0.787035708,-0.982430501,-0.449100415
102,-0.311256992,-0.906111896,0.137050863,-0.508207403,0.125399068,-0.539861909,-0.596297274,-0.703361642,-0.883540733,-0.077967705,0.836995252,0.565272665,-0.038910794,-0.290287412,-0.530490462,-0.972797689,-0.321621822,1.374671207,-0.930864586,-0.935702915,-1.031471913,-0.401167651,-0.787035708,-0.982430501,-0.449100415
105,-0.0867502,-1.13851649,0.199036102,-0.258128681,0.298738169,-0.162944468,-0.857589354,-0.537711157,-0.921698852,-0.448902912,0.832465997,0.519402171,-0.626338267,-0.289433847,-0.410097654,-1.056444232,1.95143864,0.562163892,-0.930864586,-0.796283257,-0.818244685,-0.401167651,-0.683934429,-0.814361602,-0.449100415
106,-0.186291974,-1.19550445,0.155734972,-0.625766194,-0.092466204,-0.540669518,-0.984472752,-0.235482235,-0.932846126,-1.077053371,0.161891333,0.565272665,-0.626338267,-0.292899213,-0.511628503,-1.083133039,2.063895522,0.180717919,-0.930864586,-0.935702915,-1.031471913,-0.401167651,-0.120859087,0.138028823,0.174936495
107,-0.103601247,-1.249304724,-0.888023678,-0.034175892,-0.659244506,-0.37377107,-0.848303092,-0.309550345,-0.918779827,-1.454970785,0.01793445,0.565272665,-0.626338267,-0.2931771,-0.007026152,-1.113384895,1.101296729,-0.204317502,-0.930864586,-0.935702915,-1.031471913,-0.401167651,-0.787035708,-0.982430501,-0.449100415
108,0.182638393,-1.327370689,-0.893028013,0.234473444,-0.285977832,0.279279959,-0.91197248,-0.188986056,-0.907839645,-1.472195184,0.01793445,0.565272665,0.254802942,-0.286651213,-0.200919085,-1.191013906,-0.542498774,-0.500522566,-0.930864586,-0.786014035,-0.804029536,0.756836314,0.762699887,0.810304418,2.143230728
110,0.303138046,-1.466041716,-2.210422301,1.195062539,-0.556996056,0.323015446,-0.30733596,1.026894775,-0.86051273,-0.636356917,0.01793445,0.565272665,-0.33262453,0.129974955,-0.834591488,-1.454261574,-0.778040133,-1.12254128,-0.930864586,-0.935702915,-1.031471913,-0.401167651,-0.571357549,-0.635449549,-0.449100415
119,-0.47015226,-0.114269115,0.39952715,-1.702170434,-0.496762709,-1.148019999,-0.294730005,0.217617029,-0.949047456,0.39353804,0.01793445,0.565272665,-0.626338267,-0.294270745,2.221620244,-0.576734633,0.715238424,1.195273476,-0.755059652,-0.935702915,-1.031471913,-0.401167651,-0.659343769,-0.775576472,-0.449100415
123,-0.516305224,-0.56435005,0.039915402,-0.689803838,-0.211088433,-0.78020283,-0.56977388,-1.025773496,-0.743471898,-0.571877333,0.01793445,0.565272665,-0.038910794,-0.291842298,0.282472429,-0.757931939,-0.765158519,1.282532848,-0.755059652,-0.803157451,-0.830787463,-0.401167651,-0.689017917,-0.824248008,-0.449100415
124,-0.434592314,-0.702089048,0.277665137,-1.449521524,-0.039170826,-1.09078983,-0.422332329,-0.492884638,-0.729045651,-0.899350127,0.01793445,0.565272665,-0.626338267,-0.292750614,-0.043961989,-0.784609928,0.511769024,1.460590447,-0.755059652,-0.935702915,-1.031471913,-0.401167651,-0.787035708,-0.982430501,-0.449100415
125,0.074948144,-0.807111877,0.006373456,-0.551130118,0.292677828,-0.166662368,-0.164728227,-0.934415387,-0.714386425,0.028300509,-0.085626368,0.354368108,-0.626338267,-0.283592358,-0.543290893,-0.810501846,1.898500456,1.538224793,-0.755059652,-0.645982825,-0.605017457,-0.401167651,-0.572786783,-0.646292704,-0.449100415
126,0.190982432,-0.937059161,-0.052650804,-0.116700778,0.170806867,0.150928017,-0.109156569,-0.028418592,-0.719227224,0.882594183,0.013405195,0.400238603,-0.626338267,-0.292713345,-0.401979372,-0.838852152,1.138823903,1.308735995,-0.755059652,-0.935702915,-1.031471913,-0.401167651,-0.787035708,-0.982430501,-0.449100415
