,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
1,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,1.291309541,12.94140408,13.34270451,2.886193037,7.769898698,1.089230643,-0.408820075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1.144790434,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1.617842372,1.810714219,2.766025146,-0.408820075,2.704274406,1.256386243,2.903654686,1.088278189,1.140821877,1.302104015,2.464573592,-0.408820075,1.256227501,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,1.248290388,1.139393197,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,NA,NA,NA,NA,NA,NA
4,4.353447756,1.12907495,2.871588749,2.766025146,1.178602536,1.216383194,1.113518209,2.746817332,-0.408820075,-0.408820075,-0.408820075,1.135742125,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,2.8428564,1.178126309,-0.408820075,2.766025146,1.272419212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,1.696737276,4.604895498,0.980015967,-0.408820075,1.236702203,1.140186908,1.180666185,-0.408820075,1.314009684,2.70316321,2.710624097,1.182253608,1.828652094,-0.408820075,1.152568805,1.250830264,-0.408820075,-0.408820075,1.098437694,-0.408820075,1.372426836,1.185428453,-0.408820075,2.8695251,2.65538179,-0.408820075,-0.408820075,1.249719068,-0.408820075,-0.408820075,-0.408820075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,0.835560509,0.495693329,2.953182272,-0.408820075,1.112724497,-0.408820075,1.04621149,-0.408820075,1.09954889,-0.408820075,1.161775856,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,1.365124692,1.047322686,1.195429215,-0.408820075,1.181301154,-0.408820075,1.199873999,1.19225437,1.179078762,1.225907729,1.094469137,1.292420737,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,NA,NA,NA,NA
7,3.900714828,-0.408820075,-0.408820075,1.74055014,2.813489082,4.683631659,5.616877412,-0.408820075,4.441232226,3.893571426,2.807298134,-0.408820075,-0.408820075,1.276863995,-0.408820075,-0.408820075,-0.408820075,4.938889215,3.210344734,5.874039875,3.241140733,-0.408820075,-0.408820075,1.156061134,2.711417808,2.990804187,-0.408820075,-0.408820075,1.798014838,-0.408820075,-0.408820075,1.585776435,-0.408820075,-0.408820075,1.229400059,2.712211519,3.81594646,1.221304204,5.299075405,4.170576671,1.158124784,-0.408820075,1.339249704,-0.408820075,NA,NA,NA,NA,NA,NA
8,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,1.206699916,-0.408820075,-0.408820075,1.098755178,-0.408820075,-0.408820075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,1.178602536,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,1.178602536,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075
10,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,1.18876204,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,-0.408820075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
