,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
1,0.368897804,0.254509965,-0.211178258,0.264769493,0.010050181,0.137409837,0.137409837,0.259344915,-0.023676543,0.302387761,0.071961125,0.212882225,0.001559537,0.251208048,-0.150328645,-0.253631477,-3.655549394,-2.355655426,-0.077686471,-0.036766285,0.489181923,0.203330251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,0.265948749,-0.040304053,0.12549935,0.037880624,-0.358113565,0.919728315,0.13705606,-0.331580303,0.323732296,0.0525034,0.230806918,-4.074303226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,-1.140667894,-1.541968736,0.137409837,0.362765672,0.254392039,-0.137946456,-0.107521649,0.493191394,0.281161152,-0.288065754,0.756165498,-0.17650813,-0.137592679,0.091654701,0.593664011,0.083517834,0.131277705,0.245311767,0.145075001,0.061111969,-2.183955742,-3.442104045,-0.005280148,0.459346745,0.149084472,0.059578936,0.289887647,1.006757413,-0.311415024,-0.787598626,0.291302754,-0.047733367,0.361350565,-0.11046979,0.28658573,-0.281108143,0.395431065,0.10509822,0.539300306,-0.247853122,-0.046082408,0.53033796,-0.018016114,-2.815565294,NA,NA,NA,NA,NA,NA
4,0.137409837,0.327152139,-0.052332465,0.137409837,0.137409837,0.000380281,0.389298934,0.173377147,0.247080652,-0.086059189,-0.063181621,0.300972654,-0.022733138,0.191773542,0.094013213,0.28068945,0.166891239,-0.032167186,0.630574726,-0.209763151,-0.074856256,0.213471853,0.017125717,0.507932095,0.015120982,-0.001860305,0.139296646,0.274793169,0.137409837,-0.191720533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,-1.31366476,-0.158347586,0.980695854,0.112173757,-0.070846786,0.283519664,0.129626747,0.118423814,-0.325919874,0.2565147,0.242127776,0.123730466,2.60736168,-0.17167318,0.235523942,-0.118960433,0.138589093,0.232811653,0.450974026,-2.181715155,-0.503987541,0.112055831,-1.629587462,-0.048794697,0.350265558,0.079508364,0.316892611,-0.115540591,0.501799963,1.2760995,0.388945157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,-0.032167186,-2.136903424,-0.275447714,0.470785528,0.190594286,-0.087238445,0.082692355,0.542012595,1.762660556,4.589809064,-0.190895054,-0.098323452,0.392482925,-0.057285341,0.673853424,-0.637361403,0.446257002,-3.355074947,0.200735888,0.143306117,0.533050249,0.095428321,-0.19313564,-1.355528351,-3.898004443,-2.246928016,-0.186885583,0.422082253,0.219486059,-0.482407155,0.668900549,0.075616819,0.09814061,0.127504086,-3.391631885,0.059696862,0.087291454,0.135405101,-0.033464368,0.467719463,-0.257051319,0.153801496,0.223967232,0.264533641,0.266302525,-4.001189349,NA,NA,NA,NA
7,-1.415080783,-2.825824822,-0.140540819,-1.404113701,2.955360147,-3.920882011,2.007827893,-1.697276761,-3.829017963,-1.40788732,0.061701597,-3.235498382,-2.683842391,-0.206225383,-2.245159132,-1.180880527,-3.183257337,-2.2583668,-3.172644033,-1.289607936,-0.630050015,0.09248018,0.233519207,0.222080423,0.240594743,-0.252334295,-1.788079478,-0.553634222,-1.51744021,-3.949773785,-1.797041824,-1.066374762,-1.423807277,-2.726531461,-0.04549278,-2.759904408,0.887534624,-0.017190634,-2.479241462,-1.67097935,0.21465111,-3.670408021,-0.404340403,-2.444453408,NA,NA,NA,NA,NA,NA
8,-2.439382607,0.079154587,-0.266603294,0.106749179,1.102277155,1.901223144,-0.331344452,0.233047504,0.219368134,0.182929121,-1.346801856,-3.457198523,0.53812105,3.130007972,-0.361179631,0.35156274,0.144131596,0.128919193,3.538973978,0.664065599,0.357105243,-0.16094195,-3.1517712,0.034696633,0.527979448,0.005097305,0.449440994,1.005578157,4.21810755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,0.137409837,0.137409837,0.137409837,0.137409837,0.137409837,0.137409837,0.137409837,0.137409837,0.137409837,0.137409837,-0.195730004,0.470549677,0.137409837,-2.375466928,-3.245993761,0.383402653,0.137409837,-0.10858298,0.137409837,0.137409837,-1.532298836,-4.089161852,0.137409837,0.137409837,0.137409837,0.137409837,0.137409837,0.137409837,0.137409837,0.027503171,0.2468448,0.544017331,0.056866647,-0.49113365,0.366893068,0.137409837,0.137409837,0.137409837,-0.258820204,0.533639877,-0.13488039,0.387883827,0.159108149,0.245193842,0.02538051,0.244486288,0.23316543,-0.08146009,0.137409837,-0.056341936
10,-0.235117156,0.241184371,0.558875957,0.023965403,-0.169550519,0.158400595,0.11665493,0.19531131,0.100027419,0.4361154,0.178801725,0.264769493,-0.172262808,-0.038653095,0.619843496,-0.152923008,-0.095021535,0.483285643,0.1934245,-0.119432136,0.626093553,0.050144887,-0.345967227,0.465478876,-0.005869776,0.289769721,-0.149739017,0.085994272,0.572791179,-1.576992641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
